,keyword,count,top_count,bottom_count,top_relative_frequency,bottom_relative_frequency
0,based on novel or book,179,55.0,35.0,0.30726256983240224,0.19553072625698323
1,woman director,130,13.0,38.0,0.1,0.2923076923076923
2,sequel,95,63.0,5.0,0.6631578947368421,0.05263157894736842
3,based on a true story,94,19.0,23.0,0.20212765957446807,0.24468085106382978
4,3d,90,62.0,7.0,0.6888888888888889,0.07777777777777778
5,biography,88,19.0,24.0,0.2159090909090909,0.2727272727272727
6,murder,69,16.0,16.0,0.2318840579710145,0.2318840579710145
7,violence,63,16.0,11.0,0.25396825396825395,0.1746031746031746
8,dystopia,59,31.0,12.0,0.5254237288135594,0.2033898305084746
9,based on comic,57,46.0,2.0,0.8070175438596491,0.03508771929824561
10,revenge,56,17.0,18.0,0.30357142857142855,0.32142857142857145
11,remake,56,20.0,5.0,0.35714285714285715,0.08928571428571429
12,"new york city, usa",55,14.0,10.0,0.2545454545454545,0.18181818181818182
13,superhero,49,40.0,4.0,0.8163265306122449,0.08163265306122448
14,parent child relationship,47,12.0,6.0,0.2553191489361702,0.1276595744680851
15,friendship,46,19.0,8.0,0.41304347826086957,0.17391304347826086
16,teenager,45,5.0,12.0,0.1111111111111111,0.26666666666666666
17,love,42,8.0,9.0,0.19047619047619047,0.21428571428571427
18,family,42,15.0,6.0,0.35714285714285715,0.14285714285714285
19,based on young adult novel,42,16.0,3.0,0.38095238095238093,0.07142857142857142
20,sport,34,6.0,10.0,0.17647058823529413,0.29411764705882354
21,alien,32,12.0,6.0,0.375,0.1875
22,sibling relationship,31,7.0,6.0,0.22580645161290322,0.1935483870967742
23,magic,31,18.0,3.0,0.5806451612903226,0.0967741935483871
24,"los angeles, california",29,5.0,4.0,0.1724137931034483,0.13793103448275862
25,cia,27,10.0,3.0,0.37037037037037035,0.1111111111111111
26,drugs,27,6.0,6.0,0.2222222222222222,0.2222222222222222
27,death,26,5.0,5.0,0.19230769230769232,0.19230769230769232
28,musical,26,14.0,4.0,0.5384615384615384,0.15384615384615385
29,supernatural,26,5.0,2.0,0.19230769230769232,0.07692307692307693
30,anthropomorphism,24,21.0,2.0,0.875,0.08333333333333333
31,1970s,24,6.0,9.0,0.25,0.375
32,super power,24,20.0,0.0,0.8333333333333334,0.0
33,kidnapping,24,5.0,5.0,0.20833333333333334,0.20833333333333334
34,husband wife relationship,24,7.0,6.0,0.2916666666666667,0.25
35,found footage,24,7.0,2.0,0.2916666666666667,0.08333333333333333
36,future,23,12.0,2.0,0.5217391304347826,0.08695652173913043
37,1960s,23,6.0,7.0,0.2608695652173913,0.30434782608695654
38,high school,23,4.0,3.0,0.17391304347826086,0.13043478260869565
39,1980s,23,9.0,5.0,0.391304347826087,0.21739130434782608
40,investigation,22,10.0,4.0,0.45454545454545453,0.18181818181818182
41,hotel,22,7.0,6.0,0.3181818181818182,0.2727272727272727
42,"london, england",22,5.0,5.0,0.22727272727272727,0.22727272727272727
43,small town,22,5.0,7.0,0.22727272727272727,0.3181818181818182
44,fbi,22,6.0,4.0,0.2727272727272727,0.18181818181818182
45,hospital,21,5.0,4.0,0.23809523809523808,0.19047619047619047
46,gay,21,2.0,6.0,0.09523809523809523,0.2857142857142857
47,female protagonist,21,13.0,2.0,0.6190476190476191,0.09523809523809523
48,ghost,21,9.0,3.0,0.42857142857142855,0.14285714285714285
49,lgbt,21,4.0,3.0,0.19047619047619047,0.14285714285714285
50,rescue,21,8.0,7.0,0.38095238095238093,0.3333333333333333
51,sex,21,3.0,6.0,0.14285714285714285,0.2857142857142857
52,neo-noir,21,2.0,7.0,0.09523809523809523,0.3333333333333333
53,blood,20,3.0,4.0,0.15,0.2
54,party,20,5.0,5.0,0.25,0.25
55,war,20,10.0,6.0,0.5,0.3
56,dog,19,3.0,4.0,0.15789473684210525,0.21052631578947367
57,survival,19,6.0,4.0,0.3157894736842105,0.21052631578947367
58,imax,19,14.0,0.0,0.7368421052631579,0.0
59,19th century,19,6.0,5.0,0.3157894736842105,0.2631578947368421
60,space,19,11.0,2.0,0.5789473684210527,0.10526315789473684
61,detective,19,3.0,7.0,0.15789473684210525,0.3684210526315789
62,corruption,18,4.0,6.0,0.2222222222222222,0.3333333333333333
63,marriage,18,3.0,1.0,0.16666666666666666,0.05555555555555555
64,marvel cinematic universe,18,18.0,0.0,1.0,0.0
65,teenage girl,18,2.0,5.0,0.1111111111111111,0.2777777777777778
66,zombie,18,7.0,6.0,0.3888888888888889,0.3333333333333333
67,robot,18,12.0,0.0,0.6666666666666666,0.0
68,father daughter relationship,17,6.0,3.0,0.35294117647058826,0.17647058823529413
69,monster,17,12.0,1.0,0.7058823529411765,0.058823529411764705
70,family relationships,17,4.0,4.0,0.23529411764705882,0.23529411764705882
71,lawyer,17,2.0,7.0,0.11764705882352941,0.4117647058823529
72,wedding,17,2.0,1.0,0.11764705882352941,0.058823529411764705
73,escape,17,7.0,4.0,0.4117647058823529,0.23529411764705882
74,vampire,17,5.0,4.0,0.29411764705882354,0.23529411764705882
75,alien invasion,17,7.0,3.0,0.4117647058823529,0.17647058823529413
76,road trip,17,3.0,4.0,0.17647058823529413,0.23529411764705882
77,friends,17,6.0,2.0,0.35294117647058826,0.11764705882352941
78,best friend,17,6.0,2.0,0.35294117647058826,0.11764705882352941
79,1950s,17,3.0,4.0,0.17647058823529413,0.23529411764705882
80,betrayal,17,5.0,6.0,0.29411764705882354,0.35294117647058826
81,independent film,16,0.0,7.0,0.0,0.4375
82,conspiracy,16,8.0,2.0,0.5,0.125
83,hostage,16,4.0,6.0,0.25,0.375
84,police,16,5.0,4.0,0.3125,0.25
85,world war ii,16,9.0,4.0,0.5625,0.25
86,witch,16,8.0,1.0,0.5,0.0625
87,"paris, france",16,5.0,7.0,0.3125,0.4375
88,christmas,16,4.0,3.0,0.25,0.1875
89,post-apocalyptic,16,8.0,3.0,0.5,0.1875
90,suicide,16,3.0,4.0,0.1875,0.25
91,good vs evil,16,13.0,0.0,0.8125,0.0
92,scientist,16,9.0,2.0,0.5625,0.125
93,cancer,16,3.0,3.0,0.1875,0.1875
94,assassin,16,6.0,4.0,0.375,0.25
95,on the run,16,9.0,4.0,0.5625,0.25
96,car chase,16,3.0,2.0,0.1875,0.125
97,forest,15,7.0,2.0,0.4666666666666667,0.13333333333333333
98,demon,15,3.0,1.0,0.2,0.06666666666666667
99,racism,15,8.0,0.0,0.5333333333333333,0.0
100,gore,15,6.0,5.0,0.4,0.3333333333333333
101,martial arts,15,8.0,1.0,0.5333333333333333,0.06666666666666667
102,writer,15,3.0,3.0,0.2,0.2
103,money,15,3.0,6.0,0.2,0.4
104,hitman,15,1.0,5.0,0.06666666666666667,0.3333333333333333
105,coming of age,15,1.0,3.0,0.06666666666666667,0.2
106,young adult,15,2.0,1.0,0.13333333333333333,0.06666666666666667
107,terrorism,15,4.0,4.0,0.26666666666666666,0.26666666666666666
108,loss of loved one,15,4.0,2.0,0.26666666666666666,0.13333333333333333
109,serial killer,15,1.0,4.0,0.06666666666666667,0.26666666666666666
110,spy,15,10.0,2.0,0.6666666666666666,0.13333333333333333
111,heist,14,4.0,3.0,0.2857142857142857,0.21428571428571427
112,gangster,14,2.0,3.0,0.14285714285714285,0.21428571428571427
113,music,14,5.0,3.0,0.35714285714285715,0.21428571428571427
114,secret,14,5.0,1.0,0.35714285714285715,0.07142857142857142
115,pregnancy,14,1.0,3.0,0.07142857142857142,0.21428571428571427
116,spacecraft,14,13.0,0.0,0.9285714285714286,0.0
117,mexico,14,7.0,3.0,0.5,0.21428571428571427
118,neighbor,14,1.0,3.0,0.07142857142857142,0.21428571428571427
119,doctor,13,3.0,2.0,0.23076923076923078,0.15384615384615385
120,obsession,13,4.0,4.0,0.3076923076923077,0.3076923076923077
121,usa,13,3.0,4.0,0.23076923076923078,0.3076923076923077
122,prison,13,1.0,5.0,0.07692307692307693,0.38461538461538464
123,drug dealer,13,4.0,3.0,0.3076923076923077,0.23076923076923078
124,soldier,13,6.0,6.0,0.46153846153846156,0.46153846153846156
125,time travel,13,7.0,1.0,0.5384615384615384,0.07692307692307693
126,reboot,13,7.0,0.0,0.5384615384615384,0.0
127,college,13,4.0,1.0,0.3076923076923077,0.07692307692307693
128,gun,13,3.0,5.0,0.23076923076923078,0.38461538461538464
129,jealousy,13,2.0,3.0,0.15384615384615385,0.23076923076923078
130,shootout,13,4.0,5.0,0.3076923076923077,0.38461538461538464
131,texas,13,0.0,7.0,0.0,0.5384615384615384
132,based on children's book,13,5.0,1.0,0.38461538461538464,0.07692307692307693
133,secret agent,13,8.0,1.0,0.6153846153846154,0.07692307692307693
134,journalist,13,4.0,5.0,0.3076923076923077,0.38461538461538464
135,florida,12,1.0,3.0,0.08333333333333333,0.25
136,beach,12,4.0,1.0,0.3333333333333333,0.08333333333333333
137,missing person,12,8.0,1.0,0.6666666666666666,0.08333333333333333
138,terrorist,12,4.0,3.0,0.3333333333333333,0.25
139,infidelity,12,3.0,2.0,0.25,0.16666666666666666
140,rape,12,4.0,5.0,0.3333333333333333,0.4166666666666667
141,apocalypse,12,6.0,1.0,0.5,0.08333333333333333
142,fairy tale,12,9.0,0.0,0.75,0.0
143,spin off,12,12.0,0.0,1.0,0.0
144,divorce,12,2.0,1.0,0.16666666666666666,0.08333333333333333
145,flashback,12,4.0,1.0,0.3333333333333333,0.08333333333333333
146,military,12,2.0,7.0,0.16666666666666666,0.5833333333333334
147,island,12,11.0,1.0,0.9166666666666666,0.08333333333333333
148,england,12,4.0,1.0,0.3333333333333333,0.08333333333333333
149,torture,12,1.0,3.0,0.08333333333333333,0.25
150,rivalry,12,4.0,1.0,0.3333333333333333,0.08333333333333333
151,relationship,12,2.0,2.0,0.16666666666666666,0.16666666666666666
152,alcohol,12,3.0,2.0,0.25,0.16666666666666666
153,bible,12,3.0,2.0,0.25,0.16666666666666666
154,school,12,5.0,1.0,0.4166666666666667,0.08333333333333333
155,prostitute,11,0.0,4.0,0.0,0.36363636363636365
156,romance,11,2.0,6.0,0.18181818181818182,0.5454545454545454
157,airplane,11,5.0,2.0,0.45454545454545453,0.18181818181818182
158,politics,11,2.0,4.0,0.18181818181818182,0.36363636363636365
159,dark comedy,11,2.0,2.0,0.18181818181818182,0.18181818181818182
160,snow,11,5.0,1.0,0.45454545454545453,0.09090909090909091
161,alcoholic,11,2.0,2.0,0.18181818181818182,0.18181818181818182
162,1990s,11,1.0,2.0,0.09090909090909091,0.18181818181818182
163,prequel,11,9.0,1.0,0.8181818181818182,0.09090909090909091
164,"san francisco, california",11,2.0,2.0,0.18181818181818182,0.18181818181818182
165,children,11,5.0,1.0,0.45454545454545453,0.09090909090909091
166,robbery,11,2.0,5.0,0.18181818181818182,0.45454545454545453
167,daughter,11,3.0,1.0,0.2727272727272727,0.09090909090909091
168,vigilante,11,6.0,2.0,0.5454545454545454,0.18181818181818182
169,orphan,11,5.0,1.0,0.45454545454545453,0.09090909090909091
170,police officer,11,1.0,3.0,0.09090909090909091,0.2727272727272727
171,desert,11,2.0,4.0,0.18181818181818182,0.36363636363636365
172,chase,11,4.0,3.0,0.36363636363636365,0.2727272727272727
173,based on memoir or autobiography,11,3.0,2.0,0.2727272727272727,0.18181818181818182
174,artificial intelligence,11,3.0,0.0,0.2727272727272727,0.0
175,strip club,10,2.0,2.0,0.2,0.2
176,dc comics,10,8.0,1.0,0.8,0.1
177,live action remake,10,9.0,0.0,0.9,0.0
178,haunted house,10,2.0,1.0,0.2,0.1
179,anti hero,10,5.0,2.0,0.5,0.2
180,amnesia,10,6.0,2.0,0.6,0.2
181,book,10,1.0,3.0,0.1,0.3
